time,avg_grain_vol,dt,grain_tracker
460062705,623704.51433614,7864320,10
467927025,623702.99486954,7864320,10
475791345,623692.41638683,7864320,10
483655665,623695.18845019,7864320,10
491519985,623699.69003104,7864320,10
499384305,623707.13122479,7864320,10
507248625,623710.54675988,7864320,10
515112945,623706.97327779,7864320,10
522977265,623698.73611872,7864320,10
530841585,623713.1040176,7864320,10
538705905,623725.76433768,7864320,10
546570225,623725.08296841,7864320,10
554434545,623730.44474127,7864320,10
562298865,623724.36651379,7864320,10
570163185,623727.78751599,7864320,10
578027505,623724.81152031,7864320,10
585891825,623721.12207269,7864320,10
593756145,623714.43208763,7864320,10
601620465,623725.7158781,7864320,10
609484785,623729.69242163,7864320,10
617349105,623716.48352576,7864320,10
625213425,623723.41062739,7864320,10
633077745,623730.55874594,7864320,10
640942065,623726.70227344,7864320,10
648806385,623731.27313661,7864320,10
656670705,623738.38318799,7864320,10
664535025,623748.98052313,7864320,10
672399345,623743.3392604,7864320,10
680263665,623732.76269646,7864320,10
688127985,623733.57343675,7864320,10
695992305,623741.06030868,7864320,10
703856625,623734.99258728,7864320,10
711720945,623736.52707965,7864320,10
719585265,623741.76453396,7864320,10
727449585,623746.39178701,7864320,10
735313905,623757.87905461,7864320,10
743178225,623747.36428011,7864320,10
751042545,623750.35999678,7864320,10
758906865,623754.2447948,7864320,10
766771185,623762.34430085,7864320,10
774635505,623760.18332188,7864320,10
782499825,623752.80391927,7864320,10
790364145,623758.23522718,7864320,10
798228465,623747.8163423,7864320,10
806092785,623764.97422902,7864320,10
813957105,623760.66988751,7864320,10
821821425,623751.1407036,7864320,10
829685745,623776.03065839,7864320,10
837550065,623768.96211358,7864320,10
845414385,623759.25148384,7864320,10
853278705,623763.57157017,7864320,10
861143025,623773.23704161,7864320,10
869007345,623779.56232526,7864320,10
876871665,623778.43520533,7864320,10
884735985,623755.82909913,7864320,10
892600305,623768.60707042,7864320,10
900464625,623778.73341999,7864320,10
908328945,623762.70579033,7864320,10
916193265,623777.37179014,7864320,10
924057585,623780.2559281,7864320,10
931921905,623786.47684459,7864320,10
939786225,623779.36634111,7864320,10
947650545,623780.95697376,7864320,10
955514865,623790.38693352,7864320,10
963379185,623798.54241718,7864320,10
971243505,623784.85234206,7864320,10
979107825,623785.7782176,7864320,10
986972145,623791.26375326,7864320,10
994836465,623778.9925761,7864320,10
1002700785,623790.87505967,7864320,10
1010565105,623786.48195438,7864320,10
1018429425,623806.90028788,7864320,10
1026293745,623792.36124982,7864320,10
1034158065,623806.92393169,7864320,10
1042022385,623801.57404492,7864320,10
1049886705,623794.82796012,7864320,10
1057751025,623813.76720664,7864320,10
1065615345,623796.46497068,7864320,10
