# gr0gr1_gb gr0gr2_gb gr0gr3_gb gr1gr2_gb gr1gr3_gb gr2gr3_gb total
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
80 70 70 80 80 70 450
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
75 65 70 75 80 70 435
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
70 65 65 75 75 70 420
65 60 55 75 70 65 390
65 60 55 75 70 65 390
65 60 55 75 70 65 390
65 60 55 75 70 65 390
65 60 55 75 70 65 390
65 60 55 75 70 65 390
65 60 55 75 70 65 390
65 60 55 75 70 65 390
65 60 55 75 70 65 390
65 60 55 75 70 65 390
65 60 55 75 70 65 390
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
65 55 50 75 70 60 375
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
