# Step junction_position active_etas junction_neighbors junction_angles
500 (6.875,77.5) 0 2 3 (60.8721,111.163) (7.30263,419.737) (7.30263,419.737) 57.9882 0 302.012
---- (60.8242,112.473) 0 1 3 (232.596,73.2692) (61.7532,386.364) (61.7532,386.364) 102.662 1.20742e-06 257.338
---- (61.7532,386.364) 0 1 3 (7.73333,419.267) (232.356,422.644) (7.64706,78.2941) 136.649 111.967 111.384
---- (232.596,73.2692) 0 1 2 (232.356,422.644) (60.8242,112.473) (7.64706,78.2941) 77.1043 11.5767 271.319
---- (232.356,422.644) 0 1 2 (61.7532,386.364) (232.596,73.2692) (232.596,73.2692) 78.0338 8.53774e-07 281.966
1900 (7.55814,78.4884) 0 2 3 (60.8242,112.473) (7.63158,419.079) (7.63158,419.079) 57.4494 0 302.551
---- (7.63158,419.079) 0 2 3 (7.55814,78.4884) (232.586,423.103) (60.8242,112.473) 91.0373 81.1827 187.78
---- (60.8242,112.473) 0 1 3 (232.573,73.1068) (61.7532,386.364) (61.7532,386.364) 102.715 1.20742e-06 257.285
---- (61.7532,386.364) 0 1 3 (7.63158,419.079) (232.586,423.103) (7.55814,78.4884) 136.711 112.121 111.169
---- (232.573,73.1068) 0 1 2 (232.586,423.103) (60.8242,112.473) (7.55814,78.4884) 77.0927 11.5395 271.368
---- (232.586,423.103) 0 1 2 (61.7532,386.364) (232.573,73.1068) (232.573,73.1068) 77.8605 8.53774e-07 282.14
2000 (7.70115,78.7931) 0 2 3 (60.2688,112.473) (7.79221,418.766) (7.79221,418.766) 57.337 8.53774e-07 302.663
---- (7.79221,418.766) 0 2 3 (7.70115,78.7931) (232.667,423.278) (60.2688,112.473) 91.1647 81.4274 187.408
---- (60.2688,112.473) 0 1 3 (232.573,73.1068) (61.3462,386.41) (61.3462,386.41) 102.644 0 257.356
---- (61.3462,386.41) 0 1 3 (7.79221,418.766) (232.667,423.278) (7.70115,78.7931) 136.716 112.037 111.247
---- (232.573,73.1068) 0 1 2 (232.667,423.278) (60.2688,112.473) (7.70115,78.7931) 77.1459 11.421 271.433
---- (232.667,423.278) 0 1 2 (61.3462,386.41) (232.573,73.1068) (232.573,73.1068) 77.84 0 282.16
2100 (7.70115,78.7931) 0 2 3 (60.2688,112.473) (7.79221,418.766) (7.79221,418.766) 57.337 8.53774e-07 302.663
---- (7.79221,418.766) 0 2 3 (7.70115,78.7931) (232.667,423.278) (60.2688,112.473) 91.1647 81.4274 187.408
---- (60.2688,112.473) 0 1 3 (232.632,71.0965) (61.0759,386.392) (61.0759,386.392) 103.33 nan nan
---- (61.0759,386.392) 0 1 3 (7.79221,418.766) (232.667,423.278) (7.70115,78.7931) 136.586 111.976 111.438
---- (232.632,71.0965) 0 1 2 (232.667,423.278) (60.2688,112.473) (7.70115,78.7931) 76.507 11.539 271.954
---- (232.667,423.278) 0 1 2 (61.0759,386.392) (232.632,71.0965) (232.632,71.0965) 77.8625 nan nan
2200 (7.52809,79.1573) 0 2 3 (60.2688,112.473) (7.68116,416.014) (7.68116,416.014) 57.6938 nan nan
---- (7.68116,416.014) 0 2 3 (7.52809,79.1573) (229.661,426.78) (60.2688,112.473) 92.8025 82.9477 184.25
---- (60.2688,112.473) 0 1 3 (229.661,73.2203) (61.0759,386.392) (61.0759,386.392) 102.878 nan nan
---- (61.0759,386.392) 0 1 3 (7.68116,416.014) (229.661,426.78) (7.52809,79.1573) 137.507 113.359 109.134
---- (229.661,73.2203) 0 1 2 (229.661,426.78) (60.2688,112.473) (7.52809,79.1573) 76.9533 11.5157 271.531
---- (229.661,426.78) 0 1 2 (61.0759,386.392) (229.661,73.2203) (229.661,73.2203) 76.5278 0 283.472
2300 (7.52809,79.1573) 0 2 3 (60.2688,112.473) (7.68116,416.014) (7.68116,416.014) 57.6938 nan nan
---- (7.68116,416.014) 0 2 3 (7.52809,79.1573) (229.369,427.658) (60.2688,112.473) 93.0325 83.1777 183.79
---- (60.2688,112.473) 0 1 3 (229.381,72.6549) (60.9375,386.312) (60.9375,386.312) 103.109 nan nan
---- (60.9375,386.312) 0 1 3 (7.68116,416.014) (229.369,427.658) (7.52809,79.1573) 137.059 113.656 109.285
---- (229.381,72.6549) 0 1 2 (229.369,427.658) (60.2688,112.473) (7.52809,79.1573) 76.7489 11.5704 271.681
---- (229.369,427.658) 0 1 2 (60.9375,386.312) (229.381,72.6549) (229.381,72.6549) 76.21 0 283.79
2400 (7.55556,79.3889) 0 2 3 (60.1596,112.553) (7.71429,415.786) (7.71429,415.786) 57.7435 nan nan
---- (7.71429,415.786) 0 2 3 (7.55556,79.3889) (229.369,427.658) (60.1596,112.553) 93.0929 83.2534 183.654
---- (60.1596,112.553) 0 1 3 (229.369,72.3423) (60.9036,385.723) (60.9036,385.723) 103.212 1.20742e-06 256.788
---- (60.9036,385.723) 0 1 3 (7.71429,415.786) (229.369,427.658) (7.55556,79.3889) 136.547 113.857 109.596
---- (229.369,72.3423) 0 1 2 (229.369,427.658) (60.1596,112.553) (7.55556,79.3889) 76.6322 11.5482 271.82
---- (229.369,427.658) 0 1 2 (60.9036,385.723) (229.369,72.3423) (229.369,72.3423) 76.0219 0 283.978
2500 (7.55556,79.3889) 0 2 3 (60.1596,112.553) (7.71429,415.786) (7.71429,415.786) 57.7435 nan nan
---- (7.71429,415.786) 0 2 3 (7.55556,79.3889) (229.386,427.675) (60.1596,112.553) 93.0972 83.2577 183.645
---- (60.1596,112.553) 0 1 3 (229.508,70.2869) (60.9036,385.723) (60.9036,385.723) 103.858 1.20742e-06 256.142
---- (60.9036,385.723) 0 1 3 (7.71429,415.786) (229.386,427.675) (7.55556,79.3889) 136.542 113.861 109.596
---- (229.508,70.2869) 0 1 2 (229.386,427.675) (60.1596,112.553) (7.55556,79.3889) 75.9667 11.6654 272.368
---- (229.386,427.675) 0 1 2 (60.9036,385.723) (229.508,70.2869) (229.508,70.2869) 76.0371 8.53774e-07 283.963
2600 (7.55556,79.3889) 0 2 3 (60.1596,112.553) (7.71429,415.786) (7.71429,415.786) 57.7435 nan nan
---- (7.71429,415.786) 0 2 3 (7.55556,79.3889) (229.386,427.675) (60.1596,112.553) 93.0972 83.2577 183.645
---- (60.1596,112.553) 0 1 3 (229.431,70.3252) (60.9036,385.723) (60.9036,385.723) 103.852 1.20742e-06 256.148
