time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
31762.5,37.5,4609609.3737124,3757499.2998013,8668673.6894245,8016887.8574478,0,0
31837.5,75,4608866.0163338,3756700.3544228,8669877.8837411,8016998.5006079,0,0
31875,37.5,4608523.6544777,3756244.0412962,8670505.8369342,8017051.6424102,0,0
31912.5,37.5,4608191.6996746,3755748.6916578,8671169.4111815,8017105.3186457,0,0
31950,37.5,4607884.3597886,3755200.8014072,8671859.0743967,8017166.9120611,0,0
31987.5,37.5,4607621.9309361,3754589.8409653,8672554.8122467,8017246.3063889,0,0
32025,37.5,4607427.1043855,3753956.096948,8673204.3740231,8017350.9482033,0,0
32062.5,37.5,4607310.0654166,3753362.3447459,8673709.6893605,8017482.0309155,0,0
32100,37.5,4607259.5083237,3752867.6241934,8674031.5859264,8017640.0494165,0,0
32137.5,37.5,4607236.6074707,3752475.1226674,8674214.3530499,8017822.7662711,0,0
32175,37.5,4607192.7843396,3752144.4103616,8674348.0222232,8018026.5391892,0,0
32212.5,37.5,4607113.792458,3751843.4829276,8674477.8239367,8018252.1025743,0,0
32250,37.5,4607012.6073417,3751541.059104,8674607.5375818,8018503.2213739,0,0
32287.5,37.5,4606921.3494709,3751232.9049698,8674705.2969707,8018782.634318,0,0
32325,37.5,4606861.1839043,3750913.7818307,8674761.6032433,8019086.6228382,0,0
32362.5,37.5,4606836.4555677,3750566.7483304,8674800.8638868,8019406.8701364,0,0
32400,37.5,4606819.7811066,3750190.0598685,8674860.8545171,8019734.8369685,0,0
32437.5,37.5,4606788.3797043,3749808.1439449,8674944.0718649,8020068.2521072,0,0
32475,37.5,4606741.3583811,3749453.8534193,8675013.5362506,8020411.544512,0,0
32512.5,37.5,4606696.3800832,3749153.7747638,8675017.2415587,8020768.9966827,0,0
32550,37.5,4606674.9191939,3748921.1459474,8674917.7222603,8021138.8203171,0,0
32625,75,4606704.1590848,3748695.9528057,8674423.8204326,8021877.8499611,0,0
32700,75,4606725.9197724,3748745.2179887,8673700.6772994,8022606.8713944,0,0
32775,75,4606693.2924501,3749059.0722888,8672786.0722743,8023340.8084169,0,0
32850,75,4606654.4982996,3749482.1522286,8671788.7867638,8024069.2628937,0,0
32925,75,4606654.2978511,3749836.7276873,8670887.104571,8024705.1584991,0,0
33000,75,4606675.9546342,3750030.0696491,8670227.597083,8025185.640216,0,0
33075,75,4606683.9704811,3750076.2988744,8669833.5726789,8025515.2982983,0,0
