time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
23625,1200,5138077.9935061,4669119.3156131,7775552.2900482,7432898.1116796,0,0
26025,2400,5209778.1296569,4740962.5355612,7702550.9941029,7362358.3871569,0,0
27225,1200,5245736.608188,4776986.4281471,7665887.5774457,7327043.1707763,0,0
29625,2400,5317442.1768164,4848827.6567449,7592689.5522069,7256695.2742464,0,0
30825,1200,5353401.6995152,4884828.0365843,7555954.1550451,7221470.5104166,0,0
33225,2400,5425113.788393,4956642.1202633,7482588.2826967,7151311.3000286,0,0
34425,1200,5461058.2154665,4992642.9375641,7445780.0857455,7116175.7209864,0,0
36825,2400,5532762.0631949,5064478.6816087,7372344.398347,7046074.0642382,0,0
38025,1200,5568717.6994068,5100477.2746311,7335528.8091588,7010936.8811511,0,0
40425,2400,5640450.085947,5172306.3958168,7262012.9286716,6940892.0062294,0,0
41625,1200,5676400.9432787,5208306.1185096,7225134.5477708,6905820.4409334,0,0
44025,2400,5748125.0999381,5280150.0191321,7151553.5604861,6835834.0184114,0,0
45225,1200,5784077.766555,5316145.1344395,7114690.0307369,6800750.3905196,0,0
47625,2400,5855818.0541915,5387962.9731068,7041134.71833,6730746.8536698,0,0
48825,1200,5891772.6391269,5423943.5064199,7004260.0484724,6695686.5036159,0,0
51225,2400,5963519.542897,5495755.5978469,6930660.3678452,6625727.8247242,0,0
53625,2400,6035033.1986791,5567355.2401175,6857333.4438788,6555941.3238873,0,0
54825,1200,6070943.0593307,5603300.357667,6820532.3120841,6520886.335579,0,0
57225,2400,6142640.7946215,5675084.7756892,6747078.0871127,6450857.703133,0,0
59625,2400,6214148.2227036,5746697.6855543,6673841.8341082,6380977.7780934,0,0
60825,1200,6250058.0747266,5782653.9280047,6637067.1767416,6345886.7282045,0,0
63225,2400,6321751.0421097,5854455.6241406,6563659.5593512,6275794.9948931,0,0
65625,2400,6393242.476255,5926067.5244784,6490496.6264553,6205854.8142835,0,0
