time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
72000,2400,5482633.7322698,5008639.1468219,7630327.6141398,7289797.222565,0,0
74400,2400,5515227.4065871,5041186.1953736,7597572.4547045,7257060.5998542,0,0
76800,2400,5547823.8345291,5073737.5100423,7564814.1960178,7224321.8496475,0,0
79200,2400,5580422.4685225,5106293.557564,7532052.3937893,7191581.2650851,0,0
81600,2400,5613023.2622963,5138853.2352511,7499288.5037764,7158838.3903246,0,0
84000,2400,5645626.6989238,5171415.9584439,7466522.9287972,7126092.7125719,0,0
86400,2400,5678233.4669014,5203980.7313289,7433756.5597984,7093343.4710735,0,0
88800,2400,5710844.1770136,5236548.0620664,7400988.6292283,7060590.1484319,0,0
91200,2400,5743458.6279567,5269118.41661,7368218.4797752,7027832.9951033,0,0
93600,2400,5776076.1492781,5301693.5018331,7335444.3617156,6995072.5571855,0,0
96000,2400,5808695.8017233,5334273.6255518,7302666.197806,6962309.3824565,0,0
98400,2400,5841317.25848,5366858.8794807,7269883.9233331,6929543.6895516,0,0
100800,2400,5873940.8491183,5399447.7231791,7237098.5677818,6896775.5667536,0,0
103200,2400,5906567.4182041,5432039.4798631,7204310.5287238,6864004.3477962,0,0
105600,2400,5939197.7631997,5464633.1551726,7171521.1038454,6831228.7694896,0,0
108000,2400,5971832.5401973,5497229.0898312,7138730.3408008,6798447.7053458,0,0
110400,2400,6004472.0032366,5529827.3846043,7105937.7454684,6765661.2061903,0,0
112800,2400,6037116.1017166,5562429.3388685,7073141.4743397,6732869.7788235,0,0
115200,2400,6069764.0608273,5595035.6466728,7040341.0115936,6700073.8838281,0,0
117600,2400,6102414.9876725,5627647.2270958,7007535.836812,6667273.9451148,0,0
120000,2400,6135068.0364628,5660263.7386697,6974726.0442838,6634471.0330508,0,0
122400,2400,6167723.2271093,5692885.0872023,6941911.0957987,6601665.7107263,0,0
124800,2400,6200380.9919538,5725510.6858252,6909091.7972264,6568857.2579491,0,0
127200,2400,6233042.1302983,5758140.3005983,6876268.7454177,6536044.4442172,0,0
129600,2400,6265707.4462596,5790773.4228044,6843442.2099215,6503226.7485226,0,0
132000,2400,6298377.6976631,5823409.6478772,6810611.9301182,6470404.0745918,0,0
134400,2400,6331053.6730284,5856048.9737736,6777778.1239003,6437575.4956786,0,0
136800,2400,6363735.6892442,5888691.1736058,6744941.1184836,6404740.6811572,0,0
139200,2400,6396424.1389455,5921336.5136114,6712099.9035539,6371900.2578744,0,0
141600,2400,6429119.1994363,5953984.6000163,6679253.9263505,6339055.2935299,0,0
144000,2400,6461821.6270656,5986635.6922908,6646402.5436796,6306205.8870855,0,0
146400,2400,6494532.7342964,6019289.6961085,6613544.3546594,6273352.936363,0,0
148800,2400,6527254.6678938,6051946.2905645,6580676.130451,6240498.8428538,0,0
151200,2400,6559991.3953728,6084604.6590595,6547793.8679415,6207645.8921543,0,0
153600,2400,6592748.7139989,6117262.2906413,6514892.6424734,6174797.7146801,0,0
156000,2400,6625537.4906977,6149915.6599514,6481961.7856907,6141960.6031265,0,0
158400,2400,6658375.6748386,6182557.1710014,6448983.8694115,6109145.8297752,0,0
160800,2400,6691295.7276282,6215173.6887712,6415928.6524699,6076370.426798,0,0
163200,2400,6724357.1543081,6247740.2606457,6382738.9451882,6043666.6024898,0,0
165600,2400,6757678.2381817,6280203.8549892,6349298.9112836,6011100.6577524,0,0
166800,1200,6774542.6586687,6296422.9920142,6332379.0453851,5994848.3529562,0,0
169200,2400,6808926.6899466,6328486.9120607,6297901.3676492,5962790.7151015,0,0
170400,1200,6826745.6321388,6344191.0955873,6280047.6482793,5947145.9057335,0,0
171600,1200,6845577.7267993,6359213.1175209,6261196.9072787,5932268.2467322,0,0
172800,1200,6871816.5186749,6363614.0706864,6234398.5971118,5928590.6809189,0,0
173400,600,6887842.4496216,6363888.4936356,6217593.2474576,5927948.3620564,0,0
174000,600,6904331.984557,6364031.4529265,6200479.1615807,5927287.1580401,0,0
175200,1200,6937224.4829836,6365571.9827487,6167150.2343961,5924965.7926591,0,0
175800,600,6954014.296986,6366761.265527,6150272.3857799,5923530.6611143,0,0
177000,1200,6988916.3460175,6371196.1975588,6115381.5803954,5918580.3551701,0,0
177600,600,7008415.1438373,6375738.8904238,6095878.1476627,5913830.6412933,0,0
178800,1200,7053086.5329962,6392473.0936512,6050467.1854856,5895716.9506303,0,0
179400,600,7075751.9444681,6402802.8208782,6027174.9735012,5884480.6345236,0,0
180600,1200,7112748.8535324,6430794.867663,5989404.4926689,5854451.6454858,0,0
181200,600,7128822.3947507,6446959.4459432,5972454.8980849,5837030.7740939,0,0
181800,600,7144820.0899871,6463372.4365382,5955517.165755,5819587.6254015,0,0
183000,1200,7176976.3716675,6495556.5378192,5921782.45251,5785939.9408564,0,0
183600,600,7193186.8418383,6511839.8234967,5904847.751944,5769049.9626664,0,0
184800,1200,7225372.0982311,6544159.2420014,5871140.8365318,5735536.1952252,0,0
185400,600,7241581.6822074,6560485.8652824,5854132.1492601,5718618.141576,0,0
186600,1200,7273802.0236139,6592903.9199,5820251.0751385,5685040.1727237,0,0
187200,600,7290063.0140226,6609269.728306,5803089.9134184,5668091.767259,0,0
188400,1200,7322411.9950071,6641790.7968288,5768826.6688721,5634435.210199,0,0
189000,600,7338782.3177714,6658233.6239834,5751351.2439409,5617427.9372761,0,0
190200,1200,7371554.4782418,6691039.0296305,5715985.0542643,5583724.5295189,0,0
190800,600,7388286.9197265,6707740.5048574,5697521.6645681,5566706.0146861,0,0
191400,600,7405356.1107726,6724735.8781222,5678227.1445988,5549663.2691292,0,0
192000,600,7424014.7822828,6742859.6453739,5655204.0503156,5533652.8264443,0,0
192600,600,7440673.6110915,6758562.3465198,5635627.9331114,5515073.6432364,0,0
193200,600,7449971.6380337,6768079.2283379,5636342.5082462,5489455.658778,0,0
193800,600,7458466.1128311,6776733.0063378,5644720.8671921,5461942.5860322,0,0
194400,600,7467894.1226488,6786517.4665492,5654906.5510129,5431566.6314931,0,0
195000,600,7476080.3676028,6796032.1020234,5664026.3046188,5400793.5241424,0,0
195300,300,7477084.2217396,6797160.7165408,5665133.3484452,5393734.1589368,0,0
195900,600,7477235.654648,6797156.7640457,5665230.2904483,5390720.1022102,0,0
197100,1200,7477226.1952038,6797009.7858048,5665088.8432603,5391032.534371,0,0
199500,2400,7477387.0796885,6796956.3559651,5664819.3258262,5391249.9199345,0,0
200000,500,7477407.1294316,6796975.8874171,5664770.6945873,5391210.8170196,0,0
