time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
142800,2400,6958813.5225506,6492711.4266679,5800668.214984,5459758.2225126,0,0
145200,2400,7003652.8707338,6537582.1891772,5754809.3406122,5413635.8719598,0,0
146400,1200,7026712.9303392,6560660.2142676,5731215.9210534,5389885.0244933,0,0
147600,1200,7050882.4551895,6584849.0908074,5706468.8514872,5364956.2679279,0,0
148800,1200,7080681.9585009,6614668.4086195,5676049.2970746,5334292.2560803,0,0
149400,600,7099070.8628055,6633068.6517677,5657662.0692781,5315796.4076181,0,0
150000,600,7118078.1607311,6652086.9535839,5638787.7183374,5296831.6152528,0,0
151200,1200,7155709.78136,6689737.7601244,5601409.9646895,5259303.3602669,0,0
152400,1200,7193160.4066132,6727206.1022495,5564154.466811,5221907.2169973,0,0
153600,1200,7230641.2318524,6764704.2400785,5526833.0115226,5184445.2963688,0,0
154800,1200,7268150.7788667,6802231.1742254,5489452.7446975,5146922.1590621,0,0
156000,1200,7305675.4456509,6839773.9291807,5452028.981821,5109350.2903798,0,0
157200,1200,7343211.8524205,6877328.3550299,5414566.6872699,5071733.2429636,0,0
158400,1200,7380760.1871026,6914894.6706707,5377066.6378505,5034070.7529802,0,0
159600,1200,7418320.7812342,6952474.3051182,5339528.7115324,4996362.3893156,0,0
160800,1200,7455895.2285535,6990068.0278468,5301951.7306279,4958608.6079867,0,0
162000,1200,7493485.2336489,7027677.0168282,5264335.3608627,4920808.7057702,0,0
163200,1200,7531092.1249635,7065303.0178453,5226679.3961753,4882961.5854892,0,0
164400,1200,7568718.2343244,7102947.3965584,5188981.0721685,4845067.7222996,0,0
165600,1200,7606365.2059713,7140611.8640012,5151238.0642274,4807127.0724241,0,0
166800,1200,7644034.4148151,7178298.4452329,5113449.1595485,4769138.0170056,0,0
168000,1200,7681728.7991516,7216008.43369,5075611.3444482,4731099.3945947,0,0
169200,1200,7719451.0278567,7253743.0630369,5037721.7434324,4693009.781507,0,0
170400,1200,7757203.4584538,7291504.7482406,4999777.7050922,4654866.2463081,0,0
171600,1200,7794989.4499636,7329296.2583744,4961774.1617583,4616666.3429735,0,0
172800,1200,7832812.8582596,7367119.0233668,4923705.689411,4578407.9786386,0,0
174000,1200,7870678.1717261,7404975.2923673,4885567.2541684,4540086.8012707,0,0
175200,1200,7908591.1517273,7442868.4892914,4847351.575374,4501697.6405136,0,0
176400,1200,7946560.7168281,7480801.8335689,4809047.5492686,4463235.2134045,0,0
177600,1200,7984597.8452619,7518778.4305782,4770642.2808789,4424693.1455903,0,0
178800,1200,8022718.2460276,7556800.9715088,4732118.7218391,4386064.3288012,0,0
180000,1200,8060946.9807182,7594870.3935779,4693451.9357843,4347341.5148374,0,0
181200,1200,8099326.4362042,7632981.5289543,4654605.1151972,4308519.5416579,0,0
182400,1200,8137938.8565752,7671108.7517036,4615516.6458543,4269605.4037392,0,0
183000,600,8157550.4676586,7690340.5144207,4595691.7414761,4249948.4259572,0,0
184200,1200,8197160.6491204,7728400.5751657,4555782.8858968,4210869.3195242,0,0
185400,1200,8241664.5656872,7762252.6529022,4513047.2962747,4174352.9616732,0,0
186000,600,8267432.609869,7776629.8531752,4489100.882587,4157164.4067514,0,0
186600,600,8291616.2192848,7793604.459692,4465445.3897552,4138029.9366911,0,0
187200,600,8313882.5345411,7814850.2639977,4442080.3156944,4115386.7070269,0,0
187800,600,8339420.8496854,7841105.6676971,4414476.4265633,4086747.4887704,0,0
188100,300,8344218.3960841,7846275.630735,4406834.2727273,4078522.8693991,0,0
188400,300,8345534.4876599,7847738.4496857,4404453.3646519,4076018.0039391,0,0
188700,300,8346075.7792358,7848346.4897632,4403853.8316268,4075498.6097599,0,0
189300,600,8347153.4425639,7849498.7213547,4402911.3298985,4074769.0340031,0,0
190500,1200,8349559.601096,7851917.5410074,4400615.5922966,4072904.6303573,0,0
191700,1200,8351996.9266358,7854328.5207864,4398167.122233,4070893.232386,0,0
192900,1200,8354392.1614669,7856717.1023494,4395693.6749276,4068857.3500331,0,0
194100,1200,8356763.2053647,7859099.4590381,4393199.9664608,4066801.4252156,0,0
196500,2400,8361658.4830755,7863975.0194115,4387994.0742553,4062484.497281,0,0
197700,1200,8364063.8930378,7866392.1679613,4385389.1971677,4060318.6265581,0,0
200000,2300,8368712.0387765,7871054.8802693,4380336.1409897,4056097.159292,0,0
