time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
44250,2400,5037728.2546267,2513529.8129743,5022325.7364469,2514054.8009447,4567072.7341636,5362337.9708802
46650,2400,5070350.8494536,2480720.1454399,5022520.1140377,2481267.766333,4599692.8579787,5362497.5397303
49050,2400,5102972.639207,2447907.8915419,5022716.8996309,2448476.7350587,4632313.9631154,5362661.0971851
51450,2400,5135594.2458168,2415092.7473736,5022915.6753724,2415681.7931008,4664936.7910152,5362827.9296472
53850,2400,5168215.7967964,2382275.1445108,5023115.8029056,2382883.0090229,4697561.0941419,5362998.2817532
56250,2400,5200837.9530253,2349454.8817312,5023317.0616336,2350080.4008249,4730186.2982167,5363172.4882201
58650,2400,5233460.4091825,2316632.297692,5023519.3427511,2317273.908398,4762812.8962346,5363350.1801706
61050,2400,5266083.4171195,2283806.8560625,5023722.8302708,2284463.7449583,4795441.7240956,5363530.419319
63450,2400,5298706.7972981,2250978.7606978,5023927.9099564,2251649.1608207,4828073.6670794,5363712.6538122
65850,2400,5331331.1689789,2218147.7506328,5024134.3369011,2218830.3665733,4860708.114238,5363897.1647638
68250,2400,5363956.8230738,2185314.0514317,5024341.2464928,2186007.5017732,4893344.5831891,5364084.6453745
70650,2400,5396584.3810663,2152477.1900771,5024548.1663362,2153180.9991597,4925982.8277997,5364275.2418962
73050,2400,5429213.9556534,2119637.109969,5024755.4560833,2120350.0422224,4958624.0516373,5364468.1517873
75450,2400,5461845.4917133,2086793.6890975,5024963.494917,2087514.772261,4991269.0054902,5364662.2713162
77850,2400,5494478.6747433,2053947.0539969,5025172.3884182,2054675.1113559,5023918.3161294,5364857.1331284
80250,2400,5527113.3873951,2021096.9024829,5025382.2406806,2021831.492728,5056571.3069169,5365053.3058521
82650,2400,5559749.9863316,1988242.9323366,5025593.0499709,1988983.307201,5089227.6071813,5365251.7174922
85050,2400,5592389.1063229,1955385.0626293,5025804.2933995,1956130.8555999,5121886.3367969,5365452.9113894
87450,2400,5625031.3611977,1922523.4682589,5026015.300673,1923273.9072988,5154547.7588532,5365656.7362771
89850,2400,5657676.8513357,1889658.0174321,5026226.1952,1890412.65947,5187212.1806914,5365862.5992136
92250,2400,5690325.1548506,1856788.3387804,5026437.7545523,1857546.4866318,5219880.9954459,5366069.7502903
94650,2400,5722975.6517002,1823914.1869081,5026650.6096309,1824675.8426657,5252554.6464193,5366277.5158821
97050,2400,5755627.98188,1791035.7632716,5026864.8863308,1791800.6699839,5285233.375644,5366485.7531707
99450,2400,5788282.3678279,1758153.071713,5027080.6890035,1758921.0535419,5317916.1423875,5366695.0909536
101850,2400,5820939.3759749,1725265.7995229,5027297.9830844,1726036.1798206,5350602.4074548,5366906.6744714
104250,2400,5853599.7197951,1692373.5619035,5027516.1444693,1693146.3854755,5383291.3424146,5367121.2746093
106650,2400,5886263.9797652,1659476.490968,5027734.2033931,1660251.7877996,5415983.070192,5367338.9157879
109050,2400,5918932.5899669,1626574.6850085,5027951.8622622,1627352.5795428,5448677.6247988,5367559.141745
111450,2400,5951605.6271835,1593667.8930187,5028169.6881494,1594447.8664635,5481375.9927354,5367781.486244
113850,2400,5984282.7040442,1560755.6354072,5028388.3346689,1561537.7449857,5514078.8150097,5368005.4207034
116250,2400,6016963.0675747,1527837.968666,5028608.2581881,1528622.3280815,5546786.8633652,5368230.3101799
118650,2400,6049646.1245197,1494914.9989963,5028830.1588042,1495701.8042525,5579500.0563183,5368455.8587072
121050,2400,6082331.7027607,1461986.5619947,5029054.8464617,1462775.4116304,5612218.3362428,5368682.4421029
123450,2400,6115020.2158692,1429052.0545658,5029282.3619124,1429842.9721164,5644941.3853814,5368910.7345604
125850,2400,6147712.1683615,1396111.4937415,5029512.0563977,1396904.6250696,5677668.8791323,5369141.0737608
128250,2400,6180408.3864345,1363164.827561,5029743.5663742,1363960.0769675,5710400.5233626,5369373.7115555
130650,2400,6213109.5688757,1330211.8344971,5029977.0230744,1331008.7201471,5743135.8529856,5369609.1877867
133050,2400,6245816.6790021,1297251.7808229,5030212.3704042,1298049.8962655,5775874.8903445,5369848.0917639
135450,2400,6278530.3525031,1264284.5302336,5030449.6413812,1265083.4415332,5808617.2828194,5370090.5476645
137850,2400,6311251.3266574,1231309.7873795,5030689.8478863,1232107.9912181,5841363.0064143,5370336.7322468
140250,2400,6343980.5120467,1198326.6253076,5030934.6899621,1199121.946786,5874111.6557496,5370587.2705436
142650,2400,6376719.2723782,1165333.9159783,5031185.9321012,1166123.4762055,5906862.8591713,5370842.7988867
145050,2400,6409470.2048068,1132330.3037207,5031446.2526225,1133109.3599814,5939616.2195689,5371103.6278517
147450,2400,6442236.9457864,1099314.0010622,5031720.389088,1100074.2929582,5972370.3995873,5371370.6781595
149850,2400,6475025.8926241,1066281.1871946,5032015.0999198,1067009.9537498,6005123.6758099,5371645.8899099
152250,2400,6507846.7840237,1033226.8401426,5032340.4920329,1033904.378916,6037872.2795421,5371931.9327679
154650,2400,6540716.2894807,1000142.6662996,5032713.5424438,1000736.5809127,6070610.2566976,5372232.9726222
157050,2400,6573662.7170235,967014.61520894,5033162.5170395,967471.30696165,6103326.7886312,5372556.4126416
159450,2400,6606735.7531721,933819.51345236,5033735.1615484,934048.56619085,6136001.8205724,5372913.9557095
161850,2400,6640029.4529055,900517.28108372,5034520.0626266,900357.06576103,6168595.3423771,5373324.1721728
164250,2400,6673741.6804583,867036.00742194,5035702.5265918,866168.53662738,6201010.7600024,5373818.9162127
166650,2400,6708405.8372765,833239.24683549,5037783.1334005,830894.18090171,6232927.0874027,5374454.2248688
167850,1200,6726499.8816897,816100.77885533,5039506.2454835,812420.64256909,6248496.5088788,5374858.123485
169050,1200,6745968.74791,798747.42090848,5042538.1944303,792507.46922662,6263067.5779798,5375342.5689887
170250,1200,6773685.058661,783227.0540353,5055741.6074219,763701.30697816,6266156.2902496,5375888.45996
170850,600,6790046.9718454,774539.32691004,5064051.2200796,746674.81944497,6266466.6740266,5376225.1793206
171450,600,6806703.4578614,765560.573944,5072454.4498355,729544.19311303,6266893.7177019,5376606.2392599
172650,1200,6839816.2464647,746950.17474575,5088767.7448572,695810.24097598,6268915.1042703,5377547.4371089
173850,1200,6873568.0330325,726844.2450561,5104910.3567551,661292.11813842,6272653.1236105,5378858.5996929
175050,1200,6915142.5519024,697607.14269374,5121074.3551238,618371.43642592,6285546.7108304,5380889.3143946
175650,600,6938420.8216325,679452.48069865,5129295.3547775,593616.88534492,6295155.3605084,5382369.2397028
176250,600,6961477.4838004,660326.3439991,5137568.6630935,568449.07644372,6305729.4556045,5384504.1109819
177450,1200,6999198.4833353,614858.47182058,5153937.9597135,519294.88167891,6334070.8490724,5396494.2248461
178050,600,7015678.6620789,589745.9223324,5162168.107711,494588.38073864,6350563.6622539,5404702.9959419
179250,1200,7048448.8713056,540439.08324922,5178528.8576644,445478.93879422,6383213.3327762,5420945.036477
180450,1200,7081132.2014352,491744.13843175,5194802.1100206,396663.29908932,6415625.8404722,5437068.0733633
181050,600,7097621.0321536,467008.92126484,5203039.437944,371902.85612821,6432185.002732,5445316.7940658
182250,1200,7130373.5046417,417828.96933306,5219454.9326323,322612.77434574,6465096.3030225,5461707.065685
183450,1200,7162987.8280016,368924.79674417,5235832.9971169,273505.94997371,6497823.2692958,5478005.438291
184050,600,7179541.2930574,344111.61433516,5244132.9598226,248559.96845405,6514468.8337059,5486277.8249021
