time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
174600,600,6964838.0342289,6260480.545219,5973395.3212962,5819779.7973221,0,0
175800,1200,7011976.2151985,6278027.9045438,5926555.8935157,5801367.9447879,0,0
176400,600,7035734.9965879,6287804.525101,5902995.4744909,5791267.3517504,0,0
177600,1200,7077619.9454354,6312399.8031878,5862014.3639273,5766020.9333329,0,0
178200,600,7095093.9234224,6328189.3908312,5844734.692243,5749762.1779113,0,0
178800,600,7111716.5026542,6344826.8399114,5828076.6384723,5732721.5295837,0,0
180000,1200,7144919.5120275,6377490.1679031,5794907.759965,5699707.695617,0,0
181200,1200,7178004.3941479,6409900.3741453,5761962.4984861,5667167.8688281,0,0
181800,600,7194694.2114534,6426446.9987564,5745318.8607249,5650611.47,0,0
183000,1200,7227853.4681142,6459342.6811872,5712147.7128312,5617729.9171139,0,0
184200,1200,7260933.8846405,6492087.6999474,5678963.1357024,5585103.0883427,0,0
184800,600,7277750.4921735,6508759.1225195,5662044.7714421,5568544.8432313,0,0
186000,1200,7311317.612853,6541987.3640377,5628105.4896987,5535710.8741047,0,0
186600,600,7328413.8009158,6558876.7221887,5610668.2083163,5519183.5532829,0,0
187800,1200,7363933.3948808,6593352.5431521,5572787.2577663,5487285.2151456,0,0
188400,600,7389422.9066511,6615411.1106148,5537689.4766093,5476462.5932744,0,0
188700,300,7397762.3139405,6622860.828892,5529202.3133912,5466961.2712062,0,0
189000,300,7402873.6917542,6627809.7538066,5529363.8913562,5454613.1461786,0,0
189600,600,7411575.9550741,6636469.4210696,5537172.3921842,5428529.9404099,0,0
190800,1200,7430042.7466562,6655256.8413803,5556162.0281997,5372898.3726043,0,0
191400,600,7442690.392591,6671557.5578664,5570681.6218854,5330885.3632822,0,0
191700,300,7445186.9369862,6674786.9614383,5573514.06508,5319992.542117,0,0
192000,300,7445668.513267,6675264.0516938,5573939.6254999,5316733.6267167,0,0
192600,600,7445828.0777519,6675127.7408621,5573810.0141042,5316151.3452868,0,0
193800,1200,7446202.3579388,6675035.679972,5573581.7609871,5316412.8339531,0,0
196200,2400,7447168.7729145,6674974.8762221,5573129.0968548,5316103.2735307,0,0
198600,2400,7448208.0067027,6674896.4437773,5572635.97892,5315627.7435999,0,0
200000,1400,7448774.2789616,6674867.2820962,5572363.621794,5315361.2554849,0,0
