# gr0gr1_gb gr0gr2_gb gr0gr3_gb gr1gr2_gb gr1gr3_gb gr2gr3_gb total
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
45 40 35 55 50 45 270
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 50 40 35 255
50 45 35 50 40 35 255
50 45 35 50 40 35 255
50 45 35 50 40 35 255
50 45 35 50 40 35 255
50 45 35 50 40 35 255
50 45 35 50 40 35 255
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 55 45 40 270
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 45 35 60 50 45 285
50 50 40 60 50 50 300
50 50 40 60 50 50 300
50 50 40 60 50 50 300
50 50 40 60 50 50 300
50 50 40 60 50 50 300
50 50 40 60 50 50 300
50 50 40 60 50 50 300
50 50 40 60 50 50 300
50 50 40 60 50 50 300
50 50 40 60 50 50 300
50 50 40 60 50 50 300
50 50 40 60 50 50 300
50 50 40 60 50 50 300
50 50 40 60 50 50 300
50 50 40 60 50 50 300
50 50 40 60 50 50 300
50 50 40 60 50 50 300
50 50 40 60 50 50 300
55 50 45 60 55 50 315
55 50 45 60 55 50 315
55 50 45 60 55 50 315
55 50 45 60 55 50 315
55 50 45 60 55 50 315
55 50 45 60 55 50 315
55 50 45 60 55 50 315
55 50 45 60 55 50 315
55 50 45 60 55 50 315
55 50 45 60 55 50 315
55 50 45 60 55 50 315
55 50 45 60 55 50 315
55 50 45 60 55 50 315
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 55 45 65 55 50 330
60 60 50 65 55 55 345
60 60 50 65 55 55 345
60 60 50 65 55 55 345
60 60 50 65 55 55 345
60 60 50 65 55 55 345
60 60 50 65 55 55 345
60 60 50 65 55 55 345
60 60 50 65 55 55 345
60 60 50 65 55 55 345
60 60 50 65 55 55 345
60 60 50 65 55 55 345
60 60 50 65 55 55 345
60 60 50 65 55 55 345
60 60 50 65 55 55 345
60 60 50 65 55 55 345
60 60 50 65 55 55 345
60 60 50 65 55 55 345
65 65 50 70 55 55 360
65 65 50 70 55 55 360
65 65 50 70 55 55 360
65 65 50 70 55 55 360
65 65 50 70 55 55 360
