# Step gr0 gr1 gr2 gr3 
43000 31850 111975 50200 23500
43100 31825 111975 50200 23500
43200 31825 111975 50200 23500
43300 31825 111975 50200 23500
43400 31825 111975 50200 23500
43500 31825 111975 50200 23500
43600 31825 111975 50200 23500
43700 31825 111975 50200 23500
43800 31825 111975 50200 23550
43900 31800 111975 50200 23550
44000 31800 111975 50200 23550
44100 31800 111975 50200 23550
44200 31800 111975 50200 23550
44300 31800 111975 50200 23550
44400 31775 111975 50200 23550
44500 31775 111975 50200 23550
44600 31775 111975 50225 23550
44700 31775 111975 50250 23550
44800 31775 111975 50250 23550
44900 31775 111975 50250 23550
45000 31775 111975 50200 23550
45100 31775 111975 50200 23550
45200 31775 111975 50200 23550
45300 31750 111975 50200 23550
45400 31750 111975 50200 23550
45500 31750 111975 50200 23550
45600 31750 112000 50200 23550
45700 31750 112000 50200 23550
45800 31750 112025 50200 23550
45900 31725 112025 50200 23550
46000 31725 112025 50200 23550
46100 31725 112025 50200 23550
46200 31725 112025 50200 23550
46300 31725 112025 50200 23550
46400 31725 112025 50200 23550
46500 31725 112025 50200 23550
46600 31725 112025 50200 23550
46700 31725 112025 50200 23550
46800 31725 112025 50200 23550
46900 31725 112025 50200 23550
47000 31700 112025 50200 23500
47100 31700 112050 50200 23500
47200 31700 112050 50175 23500
47300 31700 112050 50175 23500
47400 31700 112050 50175 23500
47500 31700 112050 50150 23500
47600 31700 112075 50150 23500
47700 31675 112075 50125 23525
47800 31675 112075 50175 23525
47900 31675 112075 50175 23525
48000 31675 112075 50175 23525
48100 31675 112075 50175 23525
48200 31675 112075 50200 23525
48300 31675 112075 50150 23525
48400 31675 112075 50150 23525
48500 31675 112075 50150 23525
48600 31675 112075 50150 23525
48700 31675 112075 50150 23525
48800 31675 112075 50150 23525
48900 31650 112075 50150 23525
49000 31650 112075 50150 23525
49100 31650 112075 50150 23525
49200 31650 112075 50200 23525
49300 31650 112075 50200 23525
49400 31650 112075 50200 23525
49500 31650 112075 50200 23525
49600 31650 112100 50200 23525
49700 31650 112100 50200 23525
49800 31625 112100 50200 23525
49900 31625 112050 50200 23500
50000 31625 112075 50200 23475
50100 31625 112075 50200 23475
50200 31625 112075 50200 23475
50300 31625 112100 50200 23475
50400 31625 112100 50200 23475
50500 31625 112100 50200 23475
50600 31625 112100 50200 23475
50700 31625 112125 50200 23475
50800 31625 112125 50200 23475
50900 31625 112125 50200 23475
51000 31625 112150 50200 23475
51100 31600 112150 50200 23475
51200 31550 112150 50200 23475
51300 31550 112175 50200 23475
51400 31550 112175 50200 23475
51500 31550 112175 50200 23475
51600 31550 112175 50200 23525
51700 31550 112175 50200 23525
51800 31550 112175 50200 23525
51900 31550 112175 50250 23525
52000 31525 112175 50225 23525
52100 31525 112175 50200 23525
52200 31525 112175 50200 23525
52300 31525 112175 50200 23525
52400 31500 112200 50250 23525
52500 31500 112200 50250 23525
