# Step gr0 gr1 gr2 gr3 
39300 63500 13425 57375 82625
39400 63500 13425 57375 82625
39500 63500 13425 57375 82625
39600 63500 13425 57375 82625
39700 63500 13425 57375 82625
39800 63500 13425 57375 82625
39900 63500 13425 57375 82625
40000 63500 13425 57375 82625
40100 63500 13425 57375 82625
40200 63500 13425 57375 82625
40300 63500 13400 57375 82625
40400 63500 13400 57375 82625
40500 63500 13400 57375 82625
40600 63500 13400 57350 82625
40700 63500 13375 57350 82625
40800 63500 13350 57350 82625
40900 63500 13350 57350 82625
41000 63500 13350 57350 82625
41100 63500 13350 57350 82625
41200 63500 13325 57350 82625
41300 63500 13325 57350 82625
41400 63500 13325 57350 82625
41500 63500 13325 57350 82625
41600 63500 13325 57350 82625
41700 63500 13325 57350 82625
41800 63500 13325 57350 82625
41900 63500 13325 57350 82625
42000 63500 13325 57350 82625
42100 63500 13325 57350 82625
42200 63500 13325 57350 82625
42300 63500 13325 57350 82625
42400 63500 13325 57350 82625
42500 63500 13325 57350 82625
42600 63500 13325 57350 82625
42700 63500 13325 57350 82625
42800 63500 13325 57350 82625
42900 63500 13325 57350 82625
43000 63500 13325 57350 82625
43100 63500 13325 57350 82625
43200 63500 13325 57350 82625
43300 63500 13325 57350 82625
43400 63500 13325 57350 82625
43500 63500 13325 57350 82625
43600 63500 13325 57350 82625
43700 63500 13325 57350 82625
43800 63500 13325 57350 82625
43900 63500 13325 57350 82625
44000 63500 13325 57350 82625
44100 63500 13325 57350 82625
44200 63500 13325 57350 82625
44300 63525 13325 57350 82625
44400 63525 13325 57350 82625
44500 63525 13325 57350 82625
44600 63525 13325 57350 82625
44700 63525 13325 57350 82625
44800 63525 13325 57350 82625
44900 63550 13325 57350 82625
45000 63550 13325 57350 82625
45100 63550 13325 57350 82625
45200 63550 13325 57350 82625
45300 63550 13325 57350 82625
45400 63550 13325 57350 82625
45500 63550 13325 57350 82625
45600 63550 13325 57350 82625
45700 63550 13325 57350 82625
45800 63550 13325 57375 82625
45900 63550 13325 57375 82625
46000 63550 13325 57375 82625
46100 63550 13325 57375 82625
46200 63550 13325 57375 82625
46300 63550 13325 57375 82625
46400 63550 13325 57375 82625
46500 63550 13325 57375 82625
46600 63550 13325 57375 82625
46700 63550 13325 57375 82625
46800 63550 13325 57375 82625
46900 63550 13325 57375 82625
47000 63550 13325 57375 82625
47100 63550 13325 57375 82625
47200 63550 13325 57375 82625
47300 63550 13325 57400 82625
47400 63550 13325 57400 82625
47500 63550 13325 57400 82625
47600 63550 13325 57400 82625
47700 63550 13325 57400 82625
47800 63550 13325 57400 82625
47900 63550 13325 57400 82625
48000 63550 13325 57400 82625
48100 63550 13325 57400 82625
48200 63550 13325 57400 82625
48300 63550 13325 57400 82625
48400 63550 13325 57400 82625
48500 63550 13325 57400 82625
48600 63550 13325 57400 82625
48700 63550 13325 57400 82625
48800 63550 13325 57400 82625
48900 63550 13325 57400 82625
49000 63550 13325 57400 82625
49100 63550 13325 57400 82625
49200 63550 13325 57400 82625
49300 63550 13325 57400 82625
49400 63550 13325 57400 82625
49500 63550 13325 57400 82625
49600 63550 13325 57400 82625
49700 63550 13325 57400 82625
49800 63550 13325 57400 82625
49900 63600 13325 57400 82625
50000 63600 13325 57425 82625
50100 63600 13325 57400 82625
50200 63600 13325 57400 82625
50300 63600 13325 57400 82625
50400 63600 13325 57400 82625
50500 63600 13325 57400 82625
50600 63600 13325 57400 82625
50700 63600 13325 57400 82625
50800 63600 13325 57400 82625
50900 63600 13300 57400 82625
51000 63600 13300 57400 82625
51100 63600 13300 57400 82625
51200 63600 13300 57400 82625
51300 63600 13300 57400 82625
51400 63600 13300 57400 82625
51500 63600 13300 57400 82625
51600 63600 13300 57400 82625
51700 63600 13300 57400 82625
51800 63600 13300 57400 82625
51900 63600 13300 57400 82625
52000 63600 13300 57400 82625
52100 63600 13300 57400 82625
52200 63600 13300 57400 82625
52300 63600 13300 57400 82625
52400 63600 13300 57400 82625
52500 63600 13275 57400 82625
52600 63600 13275 57400 82625
52700 63600 13275 57400 82625
