# Step junction_position active_etas junction_neighbors junction_angles
500 (6.55172,77.0115) 0 2 3 (203.283,155.455) (6.93333,420.267) (6.93333,420.267) 68.1975 8.53774e-07 291.802
---- (243.233,388.19) 0 1 2 (7.39726,419.863) (244,112.208) (244,112.208) 97.8085 1.20742e-06 262.192
1600 (7.3494,77.7108) 0 2 3 (203.382,155.686) (7.39726,419.863) (7.39726,419.863) 68.301 nan nan
---- (7.39726,419.863) 0 2 3 (7.3494,77.7108) (243.276,387.672) (203.382,155.686) 82.2368 45.6581 232.105
---- (203.382,155.686) 0 1 3 (203.393,343.214) (203.393,343.214) (203.393,343.214) nan nan nan
---- (203.393,343.214) 0 1 3 (243.59,115.556) (243.276,387.672) (7.3494,77.7108) 128.092 174.547 57.3618
---- (243.59,115.556) 0 1 2 (243.276,387.672) (203.382,155.686) (7.3494,77.7108) 44.9886 54.0465 260.965
---- (243.276,387.672) 0 1 2 (7.39726,419.863) (243.59,115.556) (243.59,115.556) 97.8373 0 262.163
1700 (7.3494,77.7108) 0 2 3 (203.382,155.686) (7.39726,419.863) (7.39726,419.863) 68.301 nan nan
---- (7.39726,419.863) 0 2 3 (7.3494,77.7108) (243.388,384.132) (203.382,155.686) 81.3984 44.8197 233.782
---- (203.382,155.686) 0 1 3 (203.393,343.214) (203.393,343.214) (203.393,343.214) nan nan nan
---- (203.393,343.214) 0 1 3 (243.202,115.658) (243.388,384.132) (7.3494,77.7108) 125.73 172.095 62.1752
---- (243.202,115.658) 0 1 2 (243.388,384.132) (203.382,155.686) (7.3494,77.7108) 44.8899 54.2901 260.82
---- (243.388,384.132) 0 1 2 (7.39726,419.863) (243.202,115.658) (243.202,115.658) 98.5698 nan nan
1800 (7.3494,77.7108) 0 2 3 (203.382,155.686) (7.39726,419.863) (7.39726,419.863) 68.301 nan nan
---- (7.39726,419.863) 0 2 3 (7.3494,77.7108) (243.277,384.034) (203.382,155.686) 81.371 44.7923 233.837
---- (203.382,155.686) 0 1 3 (203.393,343.214) (203.393,343.214) (203.393,343.214) nan nan nan
